Date,League,Home Team,Away Team,Channel,Network,iptv,Status
"Jan 24, 2025",NHL,New York Islanders,Philadelphia Flyers,MSGSN,Home,wstr,Complete
"Jan 24, 2025",NHL,Philadelphia 76ers,Cleveland Cavaliers,NBCSP+,,wstr,Wrong Game
"Jan 24, 2025",NHL,Chicago Blackhawks,Tampa Bay Lightning,CHSN,Home,wstr,Complete
"Jan 24, 2025",NHL,Chicago Blackhawks,Tampa Bay Lightning,FDSN Sun,Away,wstr,Wrong Game
"Jan 24, 2025",NHL,Winnipeg Jets,Utah Hockey Club,TSN3,Home,wstr,No Game
"Jan 24, 2025",NBA,Memphis Grizzlies,New Orleans Pelicans,FDSN SE-MEM,Home,wstr,Complete
"Jan 25, 2025",NBA,San Antonio Spurs,Indiana Pacers,KENS,Home,wstr,Complete
"Jan 25, 2025",NHL,Boston Bruins,Colorado Avalanche,NESN,Home,wstr,Complete
"Jan 25, 2025",NHL,Boston Bruins,Colorado Avalanche,ALT,Away,wstr,Complete
"Jan 25, 2025",NCAAB,Texas,Texas A&M,ESPN,National,wstr,No Game
"Jan 25, 2025",NCAAB,Texas,Texas A&M,ESPN2,National,wstr,No Game
"Jan 25, 2025",NBA,Minnesota Timberwolves,Denver Nuggets,ABC,National,wstr,Complete
"Jan 25, 2025",NHL,Edmonton Oilers,Buffalo Sabres,SNW,Home,wstr,Complete
"Jan 25, 2025",NHL,Edmonton Oilers,Buffalo Sabres,MSG,Away,wstr,No Game
"Jan 25, 2025",NHL,Edmonton Oilers,Buffalo Sabres,MSG Plus,Away,wstr,No Game
"Jan 25, 2025",NHL,Seattle Kraken,Pittsburgh Penguins,KING 5,Home,wstr,No Game
"Jan 25, 2025",NHL,Seattle Kraken,Pittsburgh Penguins,SN-PIT,Away,wstr,Complete
"Jan 25, 2025",NBA,Dallas Mavericks,Boston Celtics,ABC,National,wstr,Complete
"Jan 25, 2025",NBA,Brooklyn Nets,Miami Heat,YES,Home,wstr,Complete
"Jan 25, 2025",NCAAB,Virginia,Notre Dame,ESPN,National,wstr,No Game
"Jan 25, 2025",NCAAB,Virginia,Notre Dame,ESPN2,National,wstr,No Game
"Jan 25, 2025",NHL,Columbus Blue Jackets,Los Angeles Kings,FDSN OH,Home,wstr,No Game
"Jan 25, 2025",NHL,Columbus Blue Jackets,Los Angeles Kings,FDSN West,Away,wstr,No Game
"Jan 25, 2025",NHL,Detroit Red Wings,Tampa Bay Lightning,FDSN DET,Home,wstr,Complete
"Jan 25, 2025",NHL,Detroit Red Wings,Tampa Bay Lightning,FDSN Sun,Away,wstr,Wrong Game
"Jan 25, 2025",NHL,Minnesota Wild,Calgary Flames,FDSN WI,Home,wstr,No Game
"Jan 25, 2025",NHL,Minnesota Wild,Calgary Flames,FDSN North,Home,wstr,No Game
"Jan 25, 2025",NHL,Minnesota Wild,Calgary Flames,SNW,Away,wstr,Complete
"Jan 25, 2025",NHL,Montréal Canadiens,New Jersey Devils,TSN2,Home,wstr,No Game
"Jan 25, 2025",NHL,New York Islanders,Carolina Hurricanes,MSGSN2,,wstr,Wrong Game
"Jan 25, 2025",NHL,Ottawa Senators,Toronto Maple Leafs,TSN5,Home,wstr,No Game
"Jan 25, 2025",NHL,Ottawa Senators,Toronto Maple Leafs,TSN4,Away,wstr,Wrong Game
"Jan 25, 2025",NHL,Ottawa Senators,Toronto Maple Leafs,SNO,Away,wstr,Complete
"Jan 25, 2025",NHL,Atlanta Hawks,Toronto Raptors,SN1,,wstr,Wrong Game
"Jan 25, 2025",NHL,Minnesota Wild,Calgary Flames,SNW,Away,wstr,Wrong Game
"Jan 25, 2025",NHL,Montréal Canadiens,New Jersey Devils,SNE,,wstr,Wrong Game
